fold,group_type,train_len,val_len,train_perc,val_perc,train_active_perc,train_inactive_perc,val_active_perc,val_inactive_perc,test_active_perc,test_inactive_perc,num_leaking_uniprot,num_leaking_smiles,disabled_embeddings,val_loss,val_acc,val_f1_score,val_hp_metric,val_opt_score,val_precision,val_recall,val_roc_auc,test_loss,test_acc,test_f1_score,test_hp_metric,test_opt_score,test_precision,test_recall,test_roc_auc,hparam_hidden_dim,hparam_batch_size,hparam_learning_rate,hparam_max_epochs,hparam_join_embeddings,hparam_smote_k_neighbors,train_unique_groups,val_unique_groups
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,,0.47242388129234314,0.7969231009483337,0.7975460290908813,0.7969231009483337,1.5944690704345703,0.8074533939361572,0.7878788113594055,0.8670075535774231,0.6653529405593872,0.6666666865348816,0.6666666865348816,0.6666666865348816,1.3333333730697632,0.7142857313156128,0.625,0.75,512,16,2.3174278745002e-05,50,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled poi,0.5497817397117615,0.7876923084259033,0.7952522039413452,0.7876923084259033,1.5829445123672485,0.7790697813034058,0.8121212124824524,0.8565341234207153,0.7108388543128967,0.6666666865348816,0.7058823704719543,0.6666666865348816,1.372549057006836,0.6666666865348816,0.75,0.7678571343421936,512,16,2.3174278745002e-05,50,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled cell,0.5299310684204102,0.7969231009483337,0.8012048006057739,0.7969231009483337,1.598127841949463,0.796407163143158,0.8060606122016907,0.8626704216003418,0.7859092950820923,0.6000000238418579,0.625,0.6000000238418579,1.225000023841858,0.625,0.625,0.7321428656578064,512,16,2.3174278745002e-05,50,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled smiles,0.5229403972625732,0.6953846216201782,0.7130434513092041,0.6953846216201782,1.4084280729293823,0.6833333373069763,0.7454545497894287,0.8111931681632996,0.6444807648658752,0.7333333492279053,0.7142857313156128,0.7333333492279053,1.447619080543518,0.8333333134651184,0.625,0.8214285373687744,512,16,2.3174278745002e-05,50,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled e3 cell,0.5413038730621338,0.7938461303710938,0.803519070148468,0.7938461303710938,1.597365140914917,0.7784090638160706,0.8303030133247375,0.8571401834487915,0.7592414617538452,0.7333333492279053,0.75,0.7333333492279053,1.4833333492279053,0.75,0.75,0.6964285969734192,512,16,2.3174278745002e-05,50,sum,6,,
0,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,60,154,disabled poi e3 cell,0.5694661140441895,0.7753846049308777,0.7697160840034485,0.7753846049308777,1.5451006889343262,0.8026315569877625,0.739393949508667,0.8466287851333618,0.8321279883384705,0.6666666865348816,0.7058823704719543,0.6666666865348816,1.372549057006836,0.6666666865348816,0.75,0.7142857313156128,512,16,2.3174278745002e-05,50,sum,6,,
1,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,61,169,,0.4619878828525543,0.8030769228935242,0.8222222328186035,0.8030769228935242,1.6252992153167725,0.7589743733406067,0.8969696760177612,0.8878219723701477,0.8374834060668945,0.5333333611488342,0.5333333611488342,0.5333333611488342,1.0666667222976685,0.5714285969734192,0.5,0.6428571343421936,768,16,2.195155841647395e-05,50,concat,5,,
1,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,61,169,disabled poi,0.49038419127464294,0.7907692193984985,0.8023256063461304,0.7907692193984985,1.593094825744629,0.7709497213363647,0.8363636136054993,0.883238673210144,1.0187113285064697,0.46666666865348816,0.4285714328289032,0.46666666865348816,0.8952381014823914,0.5,0.375,0.6071428656578064,768,16,2.195155841647395e-05,50,concat,5,,
1,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,61,169,disabled cell,0.5208265781402588,0.7753846049308777,0.7542087435722351,0.7753846049308777,1.5295933485031128,0.8484848737716675,0.678787887096405,0.8818560838699341,1.4766258001327515,0.3333333432674408,0.1666666716337204,0.3333333432674408,0.5,0.25,0.125,0.5,768,16,2.195155841647395e-05,50,concat,5,,
1,random,1297,325,0.7996300863131935,0.2003699136868064,0.5065535851966075,0.49344641480339246,0.5076923076923077,0.49230769230769234,0.5333333333333333,0.4666666666666667,61,169,disabled smiles,0.5320869088172913,0.692307710647583,0.6688741445541382,0.692307710647583,1.3611818552017212,0.7372262477874756,0.6121212244033813,0.7923864126205444,0.7082361578941345,0.7333333492279053,0.6666666865348816,0.7333333492279053,1.4000000953674316,1.0,0.5,0.7857142686843872,768,16,2.195155841647395e-05,50,concat,5,,
